title	year	rated	min_age	runtime(min)	genres	director	actors	plot	languages	country	awards	imdbRating	rottenTomatoesRating	metacriticRating	boxoffice	production	ReleaseDate	YearReleased	MonthReleased	viewCount	commentCount	likeCount	dislikeCount	Production Budget	Domestic Total Gross	Distributor
The Prestige	2006	PG-13	13	130	Drama; Mystery; Sci-Fi	Christopher Nolan	Hugh Jackman; Christian Bale; Michael Caine; Piper Perabo	In the end of the Nineteenth Century in London Robert Angier his beloved wife Julia McCullough and Alfred Borden are friends and assistants of a magician When Julia accidentally dies during a performance Robert blames Alfred for her death and they become enemies Both become famous and rival magicians sabotaging the performance of the other on the stage When Alfred performs a successful trick Robert becomes obsessed trying to disclose the secret of his competitor with tragic consequences	English	USA; UK	Nominated for 2 Oscars Another 5 wins & 36 nominations	8.5	75	66	53100000	Buena Vista Pictures	20-Oct-06	2006	10	702393				40000000	53089891	Buena Vista
The Wicker Man	2006	PG-13	13	102	Horror; Mystery; Thriller	Neil LaBute	Nicolas Cage; Ellen Burstyn; Kate Beahan; Frances Conroy	While recovering from a tragic accident on the road the patrolman Edward Malus receives a letter from his former fiancée Willow who left him years ago without any explanation telling that her daughter Rowan is missing Edward travels to the private island of Summerisle where Willow lives in an odd community that plant fruits and she reveals that Rowan is actually their daughter Along his investigation with the hostile and unhelpful dwellers Edward discloses that the locals are pagans practicing old rituals to improve their harvest and Rowan is probably alive and being prepared to be sacrificed When he locates the girl he finds also the dark truth about the wicker man	English	USA; Germany; Canada	2 wins & 7 nominations	3.7	N/A	36	N/A	N/A	1-Sep-06	2006	9	199145	0			40000000	23649127	Warner Bros.
Delgo	2008	PG	7	94	Animation; Adventure; Comedy	Marc F. Adler; Jason Maurer	Freddie Prinze Jr.; Chris Kattan; Jennifer Love Hewitt; Anne Bancroft	In an exotic divided land Delgo an adventurous dreamer but naive teenager must rally his group of troubled youth and some unlikely friends to protect their world from conflict between the terrestrial Lockni people who harness the mysteries of the land And the winged Nohrin people who rule the skies They live - segregated - in an uneasy peace until Delgo was framed for a crime he did not commit After enlisting the help of a unlikely friend to escape a Nohri prison Delgo discovers Imhoff is in danger so he must unite the two races against a common foe	English	USA	N/A	4.4	12	27	511920	Freestyle Releasing	12-Dec-08	2008	12	298807	278	204	314	40000000	694782	Freestyle Releasing
Made of Honor	2008	PG-13	13	101	Comedy; Romance	Paul Weiland	Patrick Dempsey; Michelle Monaghan; Kevin McKidd; Kadeem Hardison	Made of Honor revolves around Tom and Hannah who have been platonic friends for 10 years Hes a serial dater while she wants marriage but hasnt found Mr Right Just as Tom is starting to think that he is relationship material after all Hannah gets engaged When she asks Tom to be her maid of honor he reluctantly agrees just so he can attempt to stop the wedding and woo her	English	USA; UK	1 win & 1 nomination	5.9	14	37	46012734	Sony Pictures/Columbia	2-May-08	2008	5	697091	71	835	27	40000000	46012734	Sony / Columbia
Vantage Point	2008	PG-13	13	90	Action; Crime; Drama	Pete Travis	Dennis Quaid; Matthew Fox; Forest Whitaker; Bruce McGill	The President of the United States is in Salamanca Spain about to address the city in a public square We see a plain-clothes cop his girlfriend with another man a mother and child an American tourist with a video camera and a Secret Service agent newly returned from medical leave Shots ring out and the President falls a few minutes later we hear a distant explosion then a bomb goes off in the square Those minutes are retold several times emphasizing different characters actions Gradually we discover whos behind the plot Is the Secret Service one step ahead or have the Presidents adversaries thought of everything?	English; Spanish	USA	2 wins & 2 nominations	6.6	35	40	72266306	Sony Pictures Releasing	22-Feb-08	2008	2	43830	7	38	0	40000000	72266306	Sony / Columbia
Amelia	2009	PG	7	111	Adventure; Biography; Drama	Mira Nair	Hilary Swank; Richard Gere; Ewan McGregor; Christopher Eccleston	Amelia Earhart a Kansas girl discovers the thrill of aviation at age 23 and within 12 years has progressed to winning the Distinguished Flying Cross for being the first woman to pilot a plane solo across the Atlantic Ocean At age 39 she sets out on an attempt to circumnavigate the globe an adventure that catapults her into aviation myth	English	USA; Canada	3 wins & 4 nominations	5.8	20	37	14195118	Fox Searchlight Pictures	23-Oct-09	2009	10	1509201	441	1661	129	40000000	14245415	Fox Searchlight
Fantastic Mr. Fox	2009	PG	7	87	Animation; Adventure; Comedy	Wes Anderson	George Clooney; Meryl Streep; Jason Schwartzman; Bill Murray	It is the story of one Mr Fox and his wild-ways of hen heckling turkey taking and cider sipping nocturnal instinctive adventures He has to put his wild days behind him and do what fathers do best: be responsible He is too rebellious He is too wild He is going to try just one more raid on the three nastiest meanest farmers that are Boggis Bunce and Bean It is a tale of crossing the line of family responsibilities and midnight adventure and the friendships and awakenings of this country life that is inhabited by Fantastic Mr Fox and his friends	English; French	USA	Nominated for 2 Oscars Another 32 wins & 60 nominations	7.8	93	83	21000000	20th Century Fox	13-Nov-09	2009	11	5507239	2893	12782	738	40000000	21002919	Fox
Ninja Assassin	2009	R	17	99	Action; Crime; Fantasy	James McTeigue	Rain; Joon Lee; Jonathan Chan-Pensley; Ill-Young Kim	Trained since childhood to be a lethal killer Raizo has since turned his back on the Ozunu clan that raised him and now seeks revenge for their heartless murders Teaming up with Europol investigator Mika Raizo steadily butchers his enemies while inching ever closer to the long-awaited bloody reunion with his former master	English	Germany; USA	N/A	6.4	25	34	38105077	Warner Bros. Pictures/Dark Castle Ent.	25-Nov-09	2009	11	3589333	1003	5234	281	40000000	38122883	Warner Bros.
The Bounty Hunter	2010	PG-13	13	110	Action; Comedy; Romance	Andy Tennant	Gerard Butler; Jennifer Aniston; Gio Perez; Joel Marsh Garland	Milo Boyd a down-on-his-luck bounty hunter gets his dream job when he is assigned to track down his bail-jumping ex-wife reporter Nicole Hurly He thinks all thats ahead is an easy payday but when Nicole gives him the slip so she can chase a lead on a murder cover-up Milo realizes that nothing ever goes simply with him and Nicole The exes continually one-up each other - until they find themselves on the run for their lives They thought their promise to love honor and obey was tough - staying alive is going to be a whole lot tougher	English; Ukrainian	USA	4 wins & 5 nominations	5.5	13	22	66700000	Sony Pictures	19-Mar-10	2010	3	1130646	48	1344	68	40000000	67061228	Sony / Columbia
Get Him to the Greek	2010	R	17	109	Adventure; Comedy; Music	Nicholas Stoller	Russell Brand; Rose Byrne; Tyler McKinney; Zoe Salmon	English rock star Aldous Snow relapses into drugs and booze after a break up and a disastrous record In LA Aaron Green works for a record company stuck in recession Aarons boss gives him a career making task - to bring Aldous from London to LA for a concert in 72 hours That day Aarons girlfriend Daphne tells him she wants to finish her medical residency in Seattle Aarons sure this ends their relationship In London things arent much better: Aldous delays their departure several times plies Aaron with vices and alternates between bad behavior and trenchant observations Can Aaron moderate Aldouss substance abuse and get him to the Greek? What about Daphne?	English	USA	14 nominations	6.4	72	65	60923325	Universal Pictures	4-Jun-10	2010	6	313276	239	712	71	40000000	60974475	Universal
Morning Glory	2010	PG-13	13	107	Comedy; Drama; Romance	Roger Michell	Rachel McAdams; Noah Bean; Jack Davidson; Vanessa Aspillaga	Becky (Rachel McAdams) is a hard-working morning TV show producer or at least she was until she got fired Desperate to get a job she finally gets an interview with Jerry (Jeff Goldblum) - who is desperate to hire a producer for the struggling show Daybreak Becky accepts the job and it proves to be more difficult than even she might be able to handle She has to fire the sexist co-host then try to convince egotistical news reporter Mike Pomeroy (Harrison Ford) to take the job and then try and get him to actually do the job properly And she has to do this while falling for handsome Adam (Patrick Wilson) and trying to save the show from plummeting ratings Will Becky be able to hold on to her dream job and her sanity?	English; Ukrainian	USA	1 win & 3 nominations	6.5	56	57	30982329	Paramount Studios	10-Nov-10	2010	11	5801669	1408	6710	287	40000000	31011732	Paramount
The Social Network	2010	PG-13	13	120	Biography; Drama	David Fincher	Jesse Eisenberg; Rooney Mara; Bryan Barter; Dustin Fitzsimons	On a fall night in 2003 Harvard undergrad and computer programming genius Mark Zuckerberg sits down at his computer and heatedly begins working on a new idea In a fury of blogging and programming what begins in his dorm room soon becomes a global social network and a revolution in communication A mere six years and 500 million friends later Mark Zuckerberg is the youngest billionaire in history but for this entrepreneur success leads to both personal and legal complications	English; French	USA	Won 3 Oscars Another 165 wins & 168 nominations	7.7	96	95	96400000	Columbia Pictures	1-Oct-10	2010	10	10499260	8695	24466	1253	40000000	96962694	Sony / Columbia
Colombiana	2011	PG-13	13	108	Action; Crime; Drama	Olivier Megaton	Zoe Saldana; Jordi Mollà; Lennie James; Amandla Stenberg	A young woman grows up to be a stone-cold assassin after witnessing her parents murder as a child in Bogota She works for her uncle as a hitman by day but her personal time is spent engaging in vigilante murders that she hopes will lead her to her ultimate target - the mobster responsible for her parents death	English; Spanish	France	2 wins & 5 nominations	6.4	29	45	36665854	Sony Pictures	26-Aug-11	2011	8	135298	97	231	47	40000000	36665854	TriStar
Final Destination 5	2011	R	17	92	Fantasy; Horror; Mystery	Steven Quale	Nicholas D'Agosto; Emma Bell; Miles Fisher; Ellen Wroe	In this latest installment to the horror franchise Sam and his friends manages to escape a ill-fated bridge thanks to a premonition Sam obtained However when two of his friends died in a mysterious way Sam must use his memories from the premonition to save his friends before death hunts him down	English; Cantonese	USA; Canada; Singapore; Hong Kong	2 wins & 6 nominations	5.9	62	50	42500000	Warner Bros.	12-Aug-11	2011	8	890849	873	1505	258	40000000	42587643	Warner Bros. (New Line)
The Lincoln Lawyer	2011	R	17	118	Crime; Drama; Thriller	Brad Furman	Matthew McConaughey; Marisa Tomei; Ryan Phillippe; William H. Macy	Mick Haller is a defense lawyer who works out of his Lincoln When a wealthy Realtor is accused of assaulting a prostitute Haller is asked to defend him The man claims that the woman is trying to get some money out of him But when Haller looks at the evidence against him he learns that this case might be linked to an old case of his	English	USA	1 nomination	7.3	83	63	57900000	Lionsgate Films	18-Mar-11	2011	3	2789114	588	2230	127	40000000	58009200	Lionsgate
Scream 4	2011	R	17	111	Horror; Mystery	Wes Craven	Lucy Hale; Roger Jackson; Shenae Grimes-Beech; Dane Farwell	Sidney Prescott now the author of a self-help book returns home to Woodsboro on the last stop of her book tour There she reconnects with Sheriff Dewey and Gale who are now married as well as her cousin Jill and her Aunt Kate Unfortunately Sidneys appearance also brings about the return of Ghostface putting Sidney Gale and Dewey along with Jill her friends and the whole town of Woodsboro in danger	English	USA	1 win & 6 nominations	6.2	59	52	38176892	The Weinstein Company	15-Apr-11	2011	4	285416	124	345	29	40000000	38180928	Weinstein / Dimension
