title|year|rated|released|runtime|genres|director|actors|plot|languages|country|awards|imdbRating|rottenTomatoesRating|metaCriticRating|metascore|rating|type|boxoffice|production|Title|ReleaseDate|Genre|Rating|common_title|viewCount|favoriteCount|commentCount|likeCount|dislikeCount
True Adolescents|2009|UNRATED|Fri Jul 29 2011 00:00:00 GMT-0400 (EDT)|88 min|Comedy; Drama|Craig Johnson|Mark Duplass; Bret Loehr; Carr Thompson; Melissa Leo|Craig Johnsons poised and poignant first feature follows Sam (Mark Duplass) an unbeknownst to him washed-up rocker in the early stages of haggard Jobless and apartment-less he crashes with his aunt (a compassionate Melissa Leo) as a last resort and becomes reluctant camping-trip chaperone to her teenage son and a pal That the three males are on par maturity-wise makes for engaging ensemble juvenilia But in the stirring Pacific Northwest wilderness a surprising discovery turns dire -- and the distance from boy to man must be covered overnight Duplasss ballsy and at times balls-out performance is a winner particularly when Sam at long last takes stock of himself: it aint pretty|English|USA|1 nomination|6.1/10|75%|57/100|57|6.1|movie|N/A|New Video|True Adolescents|29-Jul-11|Comedy|57|True Adolescents|7031|0|0||
Up in the Air|2009|R|Wed Dec 23 2009 00:00:00 GMT-0500 (EST)|109 min|Drama; Romance|Jason Reitman|George Clooney; Vera Farmiga; Anna Kendrick; Jason Bateman|Ryan Bingham is a corporate downsizing expert whose cherished life on the road is threatened just as he is on the cusp of reaching ten million frequent flyer miles and just after hes met the frequent-traveler woman of his dreams|English|USA|Nominated for 6 Oscars Another 76 wins & 158 nominations|7.4/10|91%|83/100|83|7.4|movie|$83,775,048|Paramount Pictures|Up in the Air|4-Dec-09|Drama, Romance|83|Up in the Air|1266418|0|142|1598|62
The Unborn|2009|PG-13|Fri Jan 09 2009 00:00:00 GMT-0500 (EST)|88 min|Drama; Horror; Mystery|David S. Goyer|Odette Annable; Gary Oldman; Cam Gigandet; Meagan Good|While babysitting a boy and his baby brother Casey Beldon has a dreadful nightmare involving a weird dog and an evil child and she tells her best friend Romy over the phone Casey is haunted by this boy and when she goes to the ophthalmologist he asks if she has a twin brother or sister She asks her father and discovers that her mother lost a son that died in the womb Casey suspects that she is haunted by the spirit of her brother She finds a letter addressed to a woman called Sofi Kozma and a creepy picture at home that belonged to her mother She goes with Romy to a retirement home to meet Sofi a survivor of the experiments during the Holocaust But Sofi tells Casey that she had never met her mother and later calls Casey to tell her she is in great danger|English; Hebrew|USA|1 nomination|4.8/10|10%|30/100|30|4.8|movie|$42,638,165|Rogue Pictures|The Unborn|9-Jan-09|Mystery, Thriller, Horror|30|The Unborn|5035658|0|2699|5280|473
Watchmen|2009|R|Fri Mar 06 2009 00:00:00 GMT-0500 (EST)|162 min|Action; Drama; Mystery|Zack Snyder|Malin Akerman; Billy Crudup; Matthew Goode; Jackie Earle Haley|In a gritty and alternate 1985 the glory days of costumed vigilantes have been brought to a close by a government crackdown but after one of the masked veterans is brutally murdered an investigation into the killer is initiated The reunited heroes set out to prevent their own destruction but in doing so discover a deeper and far more diabolical plot|English|USA|11 wins & 22 nominations|7.6/10|64%|56/100|56|7.6|movie|$107,453,620|Warner Bros. Pictures|Watchmen|6-Mar-09|Action, Sci-Fi, Drama, Mystery, Thriller|56|Watchmen|49680|0|4|52|6
We Live in Public|2009|UNRATED|Fri Sep 03 2010 00:00:00 GMT-0400 (EDT)|91 min|Documentary|Ondi Timoner|Josh Harris; Tom Harris; Carlos Alvarez; David Amron|On the 40th anniversary of the Internet WE LIVE IN PUBLIC tells the story of the effect the web is having on our society as seen through the eyes of the greatest Internet pioneer youve never heard of visionary Josh Harris Award-winning director Ondi Timoner (DIG!) documented his tumultuous life for more than a decade to create a riveting cautionary tale of what to expect as the virtual world inevitably takes control of our lives Josh Harris often called the Warhol of the Web through the infamous dotcom boom of the 1990s founded Pseudocom the first Internet television network and created his vision of the future an underground bunker in NYC where 100 people lived together on camera for 30 days over the millennium He proved how in the not-so-distant future of life online we will willingly trade our privacy for the connection and recognition we all deeply desire Through his experiments including a six-month stint living under 24-hour live surveillance online which led him to mental collapse he demonstrated the price we will all pay for living in public|English|USA|2 wins & 3 nominations|7.2/10|81%|69/100|69|7.2|movie|N/A|Interloper & Abramorama|We Live in Public|28-Aug-09|Documentary|69|We Live in Public|412839|0|143|766|56
Whip It|2009|PG-13|Fri Oct 02 2009 00:00:00 GMT-0400 (EDT)|111 min|Drama; Sport|Drew Barrymore|Sarah Habel; Shannon Eagen; Edward Austin Kelly; Mary Callaghan Lynch|In a town near Austin Bliss Cavendars strong-willed mom believes Bliss at 17 can win pageants - the key to a happy life Bliss isnt the beauty pageant type: shes shy quiet and has just one friend Pash her fellow waitress at a diner Things change for Bliss when she discovers a womens roller derby league in Austin tries out proves to be whip fast and makes a team Now she needs to become someone tough on the rink keep her parents from finding out where she goes twice a week and do something about a first crush on a musician she meets at the derby Meanwhile mom still sees Bliss as Miss Bluebonnet Things are on a collision course will everyone get banged up?|English|USA|8 nominations|6.9/10|84%|68/100|68|6.9|movie|$13,000,000|Fox Searchlight Pictures|Whip It|2-Oct-09|Drama, Sport, Comedy|68|Whip It|4439640|0|1684|12575|771
Whiteout|2009|R|Fri Sep 11 2009 00:00:00 GMT-0400 (EDT)|101 min|Action; Crime; Mystery|Dominic Sena|Kate Beckinsale; Gabriel Macht; Tom Skerritt; Columbus Short|US Marshal Carrie Stetko is three days from the end of her tour at an international research station in Antarctica after which shell resign An incident from her past haunts her The continents first winter storm is coming when a body wearing no gear is discovered in the tundra She investigates soon finds more bodies and must find a motive and a murderer before the storm and her departure A UN agent Robert Pryce appears seemingly out of nowhere to help An aging physician about to retire a nervous mission chief a downed Soviet plane and the weathers deadly elements add to the story Can Carrie trust Pryce and does she still have what it takes?|English; Russian|USA; Canada; France; Turkey|N/A|5.5/10|7%|N/A|N/A|5.5|movie|$10,300,000|Warner Bros. Pictures|Whiteout|11-Sep-09|Action, Drama, Mystery, Thriller, Crime|28|Whiteout|88270|0|8|101|11
Year One|2009|PG-13|Fri Jun 19 2009 00:00:00 GMT-0400 (EDT)|97 min|Adventure; Comedy|Harold Ramis|Jack Black; Michael Cera; Oliver Platt; David Cross|Zed a prehistoric would-be hunter eats from a tree of forbidden fruit and is banished from his tribe accompanied by Oh a shy gatherer On their travels they meet Cain and Abel on a fateful day stop Abraham from killing Isaac become slaves and reach the city of Sodom where their tribe is now enslaved Zed and Oh are determined to rescue the women they love Maya and Eema Standing in their way is Sodoms high priest and the omnipresent Cain Zed tries to form an alliance with Princess Innana which may backfire Can an inept hunter and a smart but slender and diffident gatherer become heroes and make a difference?|English|USA|1 nomination|4.9/10|15%|34/100|34|4.9|movie|$43,337,279|Sony Pictures|Year One|19-Jun-09|Adventure, Comedy|34|Year One|808815|0|305|1208|92
Whatever Works|2009|PG-13|Fri Jul 03 2009 00:00:00 GMT-0400 (EDT)|93 min|Comedy; Romance|Woody Allen|Larry David; Adam Brooks; Lyle Kanouse; Michael McKean|Attempting to impress his ideologies on religion relationships and the randomness (and worthlessness) of existence lifelong New York resident Boris Yellnikoff rants to anyone who will listen including the audience But when he begrudgingly allows naive Mississippi runaway Melodie St Ann Celestine to live in his apartment his reclusive rages give way to an unlikely friendship and Boris begins to mold the impressionable young girls worldly views to match his own When it comes to love whatever works is his motto but his already perplexed life complicates itself further when Melodies parents eventually track her down|English|USA; France|2 wins|7.2/10|49%|45/100|45|7.2|movie|$5,300,000|Sony Pictures Classics|Whatever Works|19-Jun-09|Comedy, Romance|45|Whatever Works|5592|0|1|4|1
Case 39|2009|R|Fri Oct 01 2010 00:00:00 GMT-0400 (EDT)|109 min|Horror; Mystery; Thriller|Christian Alvart|Renée Zellweger; Jodelle Ferland; Ian McShane; Bradley Cooper|Case 39 centers on an idealistic social worker who saves an abused 10-year-old girl from her parents only to discover that the girl is not as innocent as she thinks|English|USA; Canada|3 nominations|6.2/10|21%|25/100|25|6.2|movie|$13,248,477|Paramount Studios|Case 39|1-Oct-10|Mystery, Thriller, Horror|25|Case 39|19069|0|1|8|3
Tetro|2009|R|Fri Jun 26 2009 00:00:00 GMT-0400 (EDT)|127 min|Drama|Francis Ford Coppola|Vincent Gallo; Alden Ehrenreich; Maribel Verdú; Silvia Pérez|The week of his 18th birthday Bennie whos a waiter on a cruise ship has a layover in Buenos Aires He seeks out his older brother Tetro whom he hasnt seen in years Tetro who lives with Miranda is a burned-out case hes hot and cold toward his brother introducing him as a friend refusing to talk about their family telling Bennie not to tell Miranda who their father is Thoughts of their father cast a shadow over both brothers Who is he and what past has Tetro left behind? Bennie finds pages of Tetros unfinished novel and he pushes both to know his own history and to become a part of his brothers life again What can come of Bennies pushing?|English; Spanish; French|USA; Argentina; Spain; Italy|1 win & 4 nominations|6.9/10|69%|65/100|65|6.9|movie|$273,753|American Zoetrope|Tetro|11-Jun-09|Drama, Mystery|65|Tetro|575902|0|164|820|36
Daybreakers|2009|R|Fri Jan 08 2010 00:00:00 GMT-0500 (EST)|98 min|Action; Horror; Sci-Fi|Michael Spierig; Peter Spierig|Harriet Minto-Day; Jay Laga'aia; Damien Garvey; Sahaj Dumpleton|In a world 10 years into the future vampires make up the vast majority of the population with only 5% of the human race remaining This presents particular challenges as the vampires food supply - human blood - is dwindling and rationing is now the norm There is growing evidence that vampires deprived of an adequate blood supply are themselves evolving into wild vile creatures that attack anyone and anything in order to survive Dr Edward Dalton a vampire and hematologist who works for a pharmaceutical firm has been working on finding an artificial blood supply that will meet the vampire societys needs He is sympathetic to humans and sees his work as a way of alleviating their suffering but his views on finding a solution change considerably when he meets someone who found a way to transform himself from being a vampire to again take human form|English|Australia; USA|3 wins & 6 nominations|6.5/10|67%|57/100|57|6.5|movie|$30,000,000|Lionsgate|Daybreakers|8-Jan-10|Action, Sci-Fi, Drama, Thriller, Fantasy, Horror|57|Daybreakers|434719|0|52|371|20
The Ugly Truth|2009|R|Fri Jul 24 2009 00:00:00 GMT-0400 (EDT)|96 min|Comedy; Romance|Robert Luketic|Katherine Heigl; Gerard Butler; Bree Turner; Eric Winter|A romantically challenged morning show producer is reluctantly embroiled in a series of outrageous tests by her chauvinistic correspondent to prove his theories on relationships and help her find love His clever ploys however lead to an unexpected result|English|USA|3 wins & 5 nominations|6.5/10|13%|28/100|28|6.5|movie|$88,915,214|Sony/Columbia Pictures|The Ugly Truth|24-Jul-09|Comedy, Romance|28|The Ugly Truth|3573957|0|383|5721|235
Underworld: Rise of the Lycans|2009|R|Fri Jan 23 2009 00:00:00 GMT-0500 (EST)|92 min|Action; Adventure; Fantasy|Patrick Tatopoulos|Michael Sheen; Bill Nighy; Rhona Mitra; Steven Mackintosh|The prequel story traces the origins of the centuries-old blood feud between the aristocratic vampires and their onetime slaves the Lycans In the Dark Ages a young Lycan named Lucian emerges as a powerful leader who rallies the werewolves to rise up against Viktor the cruel vampire king who has enslaved them Lucian is joined by his secret lover Sonja in his battle against the Vampire army and his struggle for Lycan freedom|English|USA; New Zealand|N/A|6.6/10|29%|44/100|44|6.6|movie|$45,802,315|Sony Pictures/Screen Gems|Underworld: Rise of the Lycans|23-Jan-09|Action, Adventure, Thriller, Fantasy|44|Underworld: Rise of the Lycans|80865|0|0|64|5
What Goes Up|2009|R|Fri May 29 2009 00:00:00 GMT-0400 (EDT)|115 min|Drama|Jonathan Glatzer|Steve Coogan; Hilary Duff; Olivia Thirlby; Josh Peck|What makes a hero? January 1986 Campbell Babbitt is a reporter for the New York World writing a series on a woman who turned the grief of losing a son into civic acts He falls in love with her and when she commits suicide he continues to write made-up stories about her His editor sends him to New Hampshire to cover the Challenger flight from the town of teacher Christa McAuliffe The launch is postponed for a few days giving Campbell time to get to know a group of misfit students whose own teacher killed himself the day Campbell arrives in town He pieces the story together that led to the suicide finds himself attracted to a student and has to sort out his own loss|English|USA|1 win|5.7/10|16%|22/100|22|5.7|movie|N/A|Three Kings|What Goes Up|29-May-09|Drama|22|What Goes Up|422539|0|80|311|34
