Title,Runtime,Production Budget,Domestic Total Gross,Genre,Distributor,MPAA Rating,Release Date,
Color of the Cross (2006),1 hrs. 30 min.,N/A,"$85,802 ",Period Drama,Rocky Mountain Pictures,PG-13,27-Oct-06,
Delirious (2007) (2007),1 hrs. 47 min.,N/A,"$86,460 ",Drama,Peace Arch Entertainment,Unrated,15-Aug-07,
Sand Storm (2016),1 hrs. 27 min.,N/A,"$86,800 ",Drama,Kino Lorber,Unrated,28-Sep-16,
It's All True (1993),1 hrs. 25 min.,N/A,"$86,980 ",Unknown,Paramount,G,17-Oct-93,
Butterfly Kiss (1996),1 hrs. 28 min.,N/A,"$87,626 ",Crime Drama,Lions Gate,Unrated,3-May-96,
Exporting Raymond (2011),1 hrs. 26 min.,N/A,"$87,727 ",Documentary,Samuel Goldwyn,PG,29-Apr-11,
Money for Nothing: Inside the Federal Reserve (2013),1 hrs. 43 min.,N/A,"$88,045 ",Documentary,Liberty Street Films,Unrated,6-Sep-13,
Pete Seeger: The Power of Song (2007),1 hrs. 33 min.,N/A,"$88,312 ",Documentary,Weinstein Company,PG,26-Oct-07,
Crazy on the Outside (2010),1 hrs. 36 min.,N/A,"$88,335 ",Comedy,Freestyle Releasing,PG-13,8-Jan-10,
Night of the Living Dead (2017 4k Restoration) (2017),1 hrs. 36 min.,N/A,"$89,029 ",Horror,Janus Films,Unrated,13-Oct-17,
Byzantium (2013),1 hrs. 58 min.,N/A,"$89,237 ",Thriller,IFC,R,28-Jun-13,
The Unforeseen (2008),1 hrs. 28 min.,N/A,"$90,287 ",Documentary,Cinema Guild,Unrated,29-Feb-08,
Beasts of No Nation (2015),2 hrs. 13 min.,N/A,"$90,777 ",Drama,Bleecker Street,Unrated,16-Oct-15,
Because of Gracia (2017),1 hrs. 47 min.,N/A,"$90,878 ",Drama,ArtAffects,PG-13,15-Sep-17,
Girl on a Bicycle (2014),1 hrs. 41 min.,N/A,"$91,401 ",Romantic Comedy,"Monterey Media, Inc.",R,14-Feb-14,
Fandango (1985),1 hrs. 31 min.,N/A,"$91,666 ",Unknown,Warner Bros.,PG,25-Jan-85,
Twentyfourseven (1998),1 hrs. 36 min.,N/A,"$91,805 ",Unknown,October,R,15-Apr-98,
12:08 East of Bucharest (2007),1 hrs. 29 min.,N/A,"$91,881 ",Foreign,Tartan,Unrated,6-Jun-07,
The Road (2012) (2012),1 hrs. 50 min.,N/A,"$92,476 ",Foreign / Horror,Freestyle Releasing,R,11-May-12,
Dedication (2007),1 hrs. 51 min.,N/A,"$92,853 ",Romantic Comedy,Weinstein Company,R,24-Aug-07,
Keep Watching (2017),1 hrs. 29 min.,N/A,"$94,178 ",Thriller,Sony / Screen Gems,R,31-Oct-17,
Goodbye First Love (2012),1 hrs. 50 min.,N/A,"$95,000 ",Foreign,IFC,Unrated,20-Apr-12,
Hiroshima Mon Amour (2014 re-release) (2014),1 hrs. 32 min.,N/A,"$96,439 ",Foreign,Rialto,Unrated,17-Oct-14,
A Poem Is a Naked Person (2015 re-issue) (2015),1 hrs. 30 min.,N/A,"$96,592 ",Documentary,Janus Films,Unrated,1-Jul-15,
Wasabi (2002),1 hrs. 34 min.,N/A,"$97,220 ",Unknown,TriStar,R,27-Sep-02,
D.E.B.S. (2005),1 hrs. 30 min.,N/A,"$97,446 ",Action Comedy,IDP,PG-13,25-Mar-05,
On Guard (2002),2 hrs. 8 min.,N/A,"$97,552 ",Unknown,Empire,Unrated,18-Oct-02,
Handcart (2002),N/A,N/A,"$98,666 ",Unknown,MPE,PG-13,11-Oct-02,
Train of Life (1999),1 hrs. 43 min.,N/A,"$98,687 ",Unknown,Paramount Classics,R,5-Nov-99,
Rock On 2 (2016),2 hrs. 23 min.,N/A,"$98,868 ",Music Drama,Eros,Unrated,11-Nov-16,
"I Love You, Don't Touch Me (1998)",1 hrs. 25 min.,N/A,"$98,973 ",Romantic Comedy,MGM,R,20-Feb-98,
Elite Squad: The Enemy Within (2011),1 hrs. 56 min.,N/A,"$100,119 ",Foreign / Action,Variance Films,Unrated,11-Nov-11,
Bhutto (2010),1 hrs. 51 min.,N/A,"$100,202 ",Documentary,First Run,Unrated,3-Dec-10,
Race for Glory (1989),1 hrs. 36 min.,N/A,"$100,326 ",Unknown,New Century,R,11-Aug-89,
360 (2012),1 hrs. 51 min.,N/A,"$100,343 ",Drama,Magnolia,R,3-Aug-12,
Shadow Dancer (2013),1 hrs. 44 min.,N/A,"$100,616 ",Drama / Thriller,Magnolia,R,31-May-13,
Mugamoodi (2012),2 hrs. 30 min.,N/A,"$100,809 ",Foreign / Action,UTV Communications,Unrated,31-Aug-12,
Emerald Cowboy (2003),2 hrs. 4 min.,N/A,"$101,358 ",Unknown,Indican,R,19-Sep-03,
"Oslo, August 31st (2012)",1 hrs. 35 min.,N/A,"$101,475 ",Foreign,Strand,Unrated,25-May-12,
Computer Chess (2013),1 hrs. 32 min.,N/A,"$102,041 ",Comedy,Kino Lorber,Unrated,17-Jul-13,
Intimate Stories (2005),1 hrs. 32 min.,N/A,"$102,897 ",Foreign,New Yorker,Unrated,4-Mar-05,
Al Franken: God Spoke (2006),1 hrs. 30 min.,N/A,"$102,990 ",Documentary,Balcony Releasing,Unrated,13-Sep-06,
Frankie Starlight (1995),1 hrs. 41 min.,N/A,"$103,365 ",Unknown,Fine Line,R,22-Nov-95,
Detective K: Secret of the Living Dead (2018),2 hrs. 0 min.,N/A,"$103,523 ",Crime Comedy,Well Go USA,Unrated,16-Feb-18,
Every Secret Thing (2015),1 hrs. 33 min.,N/A,"$103,536 ",Drama,Starz Media,R,15-May-15,
30 Years to Life (2002),1 hrs. 50 min.,N/A,"$103,540 ",Unknown,Innovation Film Group,R,7-Jun-02,
Results (2015),1 hrs. 44 min.,N/A,"$104,507 ",Comedy,Magnolia,R,29-May-15,
Bolshoi Ballet: Hero of our Time (2017),N/A,N/A,"$104,837 ",Musical,Fathom,Unrated,9-Apr-17,
Guerrilla: The Taking of Patty Hearst (2004),1 hrs. 29 min.,N/A,"$105,054 ",Documentary,Magnolia,Unrated,26-Nov-04,
A Jihad for Love (2008),1 hrs. 21 min.,N/A,"$105,651 ",Documentary,First Run,Unrated,21-May-08,
Shattered Image (1998),1 hrs. 42 min.,N/A,"$106,116 ",Thriller,Lions Gate,R,4-Dec-98,
Lawn Dogs (1998),1 hrs. 41 min.,$8 million,"$106,404 ",Unknown,Strand,R,15-May-98,
The Secret Agent (1996),1 hrs. 35 min.,N/A,"$106,606 ",Drama / Thriller,Fox Searchlight,R,8-Nov-96,
Augustine (2013),1 hrs. 41 min.,N/A,"$107,352 ",Foreign,Music Box Films,Unrated,17-May-13,
Evangelion 1.0 You Are (Not) Alone (2009),1 hrs. 38 min.,N/A,"$107,797 ",Animation,Eleven Arts,PG-13,3-Jul-09,
Downtown 81 (2001),1 hrs. 15 min.,N/A,"$108,058 ",Unknown,Zeitgeist,Unrated,13-Jul-01,
Bettie Page Reveals All (2013),1 hrs. 30 min.,N/A,"$108,118 ",Documentary,Music Box Films,R,22-Nov-13,
After.Life (2010),1 hrs. 37 min.,N/A,"$108,595 ",Horror Thriller,Anchor Bay Films,R,9-Apr-10,
Adult Beginners (2015),1 hrs. 30 min.,N/A,"$108,808 ",Comedy / Drama,Radius-TWC,R,24-Apr-15,
Il Cuore Altrove (2003),1 hrs. 47 min.,N/A,"$108,954 ",Unknown,Odeon,Unrated,19-Dec-03,
Darfur Now (2007),1 hrs. 38 min.,N/A,"$109,107 ",Documentary,Warner Independent,PG,2-Nov-07,
Foxtrot (2018),1 hrs. 48 min.,N/A,"$110,232 ",Drama,Sony Classics,R,2-Mar-18,
The Perfect Family (2012),1 hrs. 24 min.,N/A,"$110,313 ",Comedy,Variance Films,PG-13,4-May-12,
Wild Horse Wild Ride (2012),1 hrs. 46 min.,N/A,"$111,205 ",Documentary,Screen Media,PG,24-Aug-12,
Let it Rain (2010),1 hrs. 50 min.,N/A,"$111,844 ",Comedy,IFC,Unrated,18-Jun-10,
Days and Clouds (2008),1 hrs. 55 min.,N/A,"$112,102 ",Foreign,Film Movement,Unrated,11-Jul-08,
Killing Kasztner (2009),2 hrs. 0 min.,N/A,"$112,313 ",Documentary,Sky Island Films,Unrated,23-Oct-09,
Bamako (2007),1 hrs. 55 min.,N/A,"$112,351 ",Foreign,New Yorker,Unrated,14-Feb-07,
Arizona Dream (1995),2 hrs. 22 min.,N/A,"$112,547 ",Unknown,Kit Parker Films,R,7-Jun-95,
Slack Bay (2017),2 hrs. 2 min.,N/A,"$112,621 ",Comedy,Kino Lorber,Unrated,10-Mar-17,
Monster Beach Party (2009),1 hrs. 32 min.,N/A,"$112,791 ",Horror Comedy,Indican,PG-13,10-Apr-09,
"We Love You, Sally Carmichael! (2017)",1 hrs. 24 min.,N/A,"$113,435 ",Comedy,Purdie Distribution,PG,4-Aug-17,
The Other Side of the Bed (2003),1 hrs. 54 min.,N/A,"$113,543 ",Foreign,Sundance Film Series,R,29-Aug-03,
35 and Ticking (2011),1 hrs. 30 min.,N/A,"$113,794 ",Romantic Comedy,Image Entertainment,R,20-May-11,
Ballerina (2009),1 hrs. 20 min.,N/A,"$114,507 ",Documentary,First Run,Unrated,16-Jan-09,
Guncrazy (1993),1 hrs. 37 min.,N/A,"$114,516 ",Unknown,Man Ray Assoc.,R,20-Jan-93,
The Other End of the Line (2008),1 hrs. 46 min.,N/A,"$115,592 ",Romance,MGM,PG-13,31-Oct-08,
Bank Robber (1993),1 hrs. 31 min.,N/A,"$115,842 ",Unknown,IRS Media,R,10-Dec-93,
The Song of Sparrows (2009),1 hrs. 36 min.,N/A,"$116,372 ",Foreign,Regent Releasing,PG,3-Apr-09,
Beware of Mr. Baker (2012),1 hrs. 40 min.,N/A,"$116,476 ",Documentary,Snagfilms,Unrated,28-Nov-12,
Gummo (1997),1 hrs. 45 min.,N/A,"$116,799 ",Unknown,Fine Line,R,17-Oct-97,
Spring Forward (2000),1 hrs. 50 min.,$2 million,"$117,471 ",Drama,IFC,R,8-Dec-00,
Victor (2016),1 hrs. 50 min.,N/A,"$117,755 ",Drama,CanZion Films,PG-13,15-Sep-16,
Music from Another Room (1998),1 hrs. 44 min.,N/A,"$118,475 ",Unknown,MGM,PG-13,24-Apr-98,
Do I Sound Gay? (2015),1 hrs. 17 min.,N/A,"$119,388 ",Documentary,IFC,Unrated,10-Jul-15,
Come Early Morning (2006),1 hrs. 37 min.,N/A,"$119,452 ",Romance,IDP,R,10-Nov-06,
Examined Life (2009),1 hrs. 27 min.,N/A,"$120,712 ",Documentary,Zeitgeist,Unrated,25-Feb-09,
Fire at Sea (2016),1 hrs. 48 min.,N/A,"$120,933 ",Documentary,Kino Lorber,Unrated,18-Sep-16,
Fidel (2002),1 hrs. 31 min.,N/A,"$121,304 ",Documentary,First Run,Unrated,18-Oct-02,
Lila Says (2005),1 hrs. 29 min.,N/A,"$121,365 ",Foreign,IDP,R,24-Jun-05,
God Bless America (2012),1 hrs. 44 min.,N/A,"$122,550 ",Comedy,Magnolia,R,11-May-12,
City of Life and Death (2011),2 hrs. 12 min.,$12 million,"$122,558 ",Foreign,Kino,R,11-May-11,
Street Dreams (2009),1 hrs. 28 min.,N/A,"$122,575 ",Drama,Slowhand Cinema,R,12-Jun-09,
There Goes My Baby (1994),1 hrs. 39 min.,N/A,"$123,509 ",Comedy / Drama,Orion Pictures,R,2-Sep-94,
Centurion (2010),1 hrs. 37 min.,$12 million,"$123,570 ",Action / Adventure,Magnolia,R,27-Aug-10,
Eureka (1984),2 hrs. 10 min.,N/A,"$123,572 ",Unknown,United Artists,R,5-Oct-84,
"War Eagle, Arkansas (2009)",1 hrs. 33 min.,N/A,"$123,670 ",Drama,Hannover House,PG-13,12-Jun-09,
"Rita, Sue and Bob Too (1987)",1 hrs. 29 min.,N/A,"$124,167 ",Unknown,Orion Classics,R,17-Jul-87,
The Square (2013) (2013),1 hrs. 44 min.,N/A,"$124,244 ",Documentary,Noujaim Films,Unrated,25-Oct-13,
The First Saturday in May (2008),1 hrs. 36 min.,N/A,"$124,294 ",Documentary,Truly Indie,PG-13,18-Apr-08,
Oleanna (1994),1 hrs. 29 min.,N/A,"$124,693 ",Unknown,Samuel Goldwyn,Unrated,4-Nov-94,
The B-Side: Elsa Dorfman's Portrait Photography (2017),1 hrs. 16 min.,N/A,"$125,227 ",Documentary,Neon,R,30-Jun-17,
The Night Flier (1998),1 hrs. 37 min.,N/A,"$125,397 ",Unknown,New Line,R,6-Feb-98,
Amarcord ,2 hrs. 3 min.,N/A,"$125,493 ",Comedy / Drama,Janus Films,R,N/A,
Chimes at Midnight (2016 re-release) (2016),1 hrs. 56 min.,N/A,"$126,724 ",Comedy / Drama,Janus Films,Unrated,1-Jan-16,
A Journey Through Time with Anthony (2015),2 hrs. 2 min.,N/A,"$127,381 ",Drama,China Lion,Unrated,18-Nov-15,
American Chai (2002),1 hrs. 32 min.,N/A,"$127,518 ",Unknown,Magic Lamp,R,5-Apr-02,
Bjork - Biophilia Live (2014),1 hrs. 37 min.,N/A,"$127,754 ",Documentary,Cinema Purgatorio,Unrated,26-Sep-14,
Marie Curie: The Courage of Knowledge (2017),1 hrs. 40 min.,N/A,"$127,986 ",Documentary,Society Films,Unrated,30-Jun-17,
Americanizing Shelley (2007),1 hrs. 30 min.,N/A,"$128,024 ",Comedy,Rocky Mountain Pictures,PG,26-Apr-07,
Drug War (2013),1 hrs. 45 min.,N/A,"$128,195 ",Foreign / Action,Variance Films,R,26-Jul-13,
Alexandra (2008),1 hrs. 35 min.,N/A,"$128,222 ",Foreign,Cinema Guild,Unrated,26-Mar-08,
I Saw the Devil (2011),2 hrs. 21 min.,N/A,"$129,210 ",Foreign,Magnolia,Unrated,4-Mar-11,
Be Here to Love Me: A Film About Townes Van Zandt (2005),1 hrs. 39 min.,N/A,"$129,988 ",Documentary,Palm,Unrated,2-Dec-05,
Devil and Angel (E Gun Tian Shi) (2015),2 hrs. 5 min.,N/A,"$131,058 ",Comedy,China Lion,Unrated,31-Dec-15,
"Hare Krishna! The Mantra, the Movement and the Swami Who Started it All (2017)",1 hrs. 30 min.,N/A,"$133,006 ",Documentary,Abramorama,Unrated,16-Jun-17,
Don't Think I've Forgotten: Cambodia's Lost Rock and Roll (2015),1 hrs. 46 min.,N/A,"$133,443 ",Documentary,Argot Pictures,Unrated,22-Apr-15,
Evangelion 2.0: You Can (Not) Advance (2011),1 hrs. 49 min.,N/A,"$133,640 ",Foreign,Eleven Arts,Unrated,21-Jan-11,
Liebestraum (1991),1 hrs. 52 min.,N/A,"$133,645 ",Thriller,MGM,R,13-Sep-91,
The Other Dream Team (2012),1 hrs. 29 min.,N/A,"$135,228 ",Documentary,The Film Arcade,Unrated,28-Sep-12,
Slaughter Creek (2012),1 hrs. 16 min.,N/A,"$136,815 ",Drama,Nocturnal Features,Unrated,14-Sep-12,
The Double (2011),1 hrs. 38 min.,N/A,"$137,921 ",Thriller,Image Entertainment,PG-13,28-Oct-11,
Beauty and the Beast (2002 re-issue) (2002),1 hrs. 33 min.,N/A,"$138,503 ",Foreign,Cowboy,Unrated,21-Jun-02,
Intervista (1992),1 hrs. 56 min.,N/A,"$138,608 ",Foreign,Castle Hill,Unrated,20-Nov-92,
The List (2007) (2007),1 hrs. 47 min.,N/A,"$138,814 ",Thriller,Mountain Top Releasing,PG,10-Aug-07,
Men of Respect (1991),1 hrs. 53 min.,N/A,"$139,155 ",Unknown,Columbia,R,18-Jan-91,
Game (2011) (2011),2 hrs. 15 min.,N/A,"$139,528 ",Foreign / Action,Eros,Unrated,1-Apr-11,
Tigerland (2000),1 hrs. 40 min.,N/A,"$139,692 ",Unknown,Fox,R,6-Oct-00,
Hanna's War (1988),2 hrs. 38 min.,N/A,"$139,796 ",Unknown,Cannon Films,PG-13,23-Nov-88,
Let's Get Harry (1986),1 hrs. 42 min.,N/A,"$140,980 ",Action / Adventure,TriStar,R,31-Oct-86,
Cote D'Azur (2005),1 hrs. 30 min.,N/A,"$141,039 ",Foreign,Strand,Unrated,9-Sep-05,
Simple Men (1992),1 hrs. 45 min.,N/A,"$141,554 ",Comedy / Drama,Fine Line,R,14-Oct-92,
Haven (2006),1 hrs. 39 min.,N/A,"$142,483 ",Crime Drama,Yari Film Group,R,15-Sep-06,
The Boys and Girl from County Clare (2005),1 hrs. 30 min.,N/A,"$142,872 ",Music Drama,First Look,R,11-Mar-05,
The Lost Skeleton of Cadavra (2004),1 hrs. 30 min.,"$40,000 ","$143,121 ",Unknown,Sony Repertory,PG,6-Feb-04,
Oranges and Sunshine (2011),1 hrs. 45 min.,N/A,"$143,480 ",Drama,Cohen Media Group,R,21-Oct-11,
Narco Cultura (2013),1 hrs. 42 min.,N/A,"$145,088 ",Documentary,Cinedigm Entertainment,R,22-Nov-13,
Bubble (2006),1 hrs. 12 min.,$1.6 million,"$145,626 ",Drama,Magnolia,R,27-Jan-06,
Kisna (2005),2 hrs. 50 min.,N/A,"$147,000 ",Foreign,Eros,Unrated,21-Jan-05,
La Scorta (1994),1 hrs. 32 min.,N/A,"$147,107 ",Unknown,First Look,Unrated,6-May-94,
Bartleby (2002),1 hrs. 22 min.,N/A,"$148,479 ",Unknown,Outrider,PG-13,24-May-02,
The Patience Stone (2013),1 hrs. 42 min.,N/A,"$148,671 ",Foreign,Sony Classics,R,14-Aug-13,
Agnes Browne (1999),1 hrs. 32 min.,N/A,"$148,853 ",Unknown,USA Films,R,3-Dec-99,
Forever Young (2015) (2015),1 hrs. 47 min.,N/A,"$149,761 ",Romance,China Lion,Unrated,10-Jul-15,
Only the Brave (2010),1 hrs. 39 min.,N/A,"$150,000 ",War,Indican,R,28-May-10,
Razorback (1984),1 hrs. 35 min.,N/A,"$150,140 ",Horror,Warner Bros.,R,16-Nov-84,
The Great New Wonderful (2006),1 hrs. 27 min.,"$500,000 ","$150,142 ",Comedy,First Independent Pictures,R,23-Jun-06,
Life in a... METRO (2007),2 hrs. 5 min.,N/A,"$150,212 ",Foreign,UTV Communications,Unrated,11-May-07,
Stoked: The Rise and Fall of Gator (2003),1 hrs. 22 min.,N/A,"$150,268 ",Unknown,Palm,R,22-Aug-03,
A Coffee in Berlin (2014),1 hrs. 23 min.,N/A,"$150,275 ",Foreign,Music Box Films,Unrated,13-Jun-14,
House (re-release) (2010),N/A,N/A,"$150,284 ",Foreign / Horror,Janus Films,Unrated,15-Jan-10,
Charlotte Sometimes (2003),1 hrs. 25 min.,N/A,"$150,445 ",Unknown,Small Planet,R,2-May-03,
The Unknown Girl (2017),1 hrs. 46 min.,N/A,"$150,549 ",Foreign,IFC,Unrated,8-Sep-17,
Simon and the Oaks (2012),2 hrs. 2 min.,N/A,"$150,664 ",Foreign,The Film Arcade,Unrated,12-Oct-12,
Paperback Romance (1997),1 hrs. 29 min.,N/A,"$151,068 ",Romantic Comedy,MGM,R,15-Aug-97,
Chakravyuh (2012),N/A,N/A,"$151,778 ",Foreign,Eros,Unrated,24-Oct-12,
Mondays in the Sun (2003),1 hrs. 53 min.,N/A,"$153,256 ",Unknown,Lions Gate,R,25-Jul-03,
Citizen Koch (2014),1 hrs. 30 min.,N/A,"$153,908 ",Documentary,Variance Films,Unrated,6-Jun-14,
"Buen Dia, Ramon (2015)",2 hrs. 0 min.,N/A,"$154,356 ",Foreign,FIP,PG-13,30-Jan-15,
Sister (2012) (2012),1 hrs. 37 min.,N/A,"$154,659 ",Foreign,Adopt Films,Unrated,5-Oct-12,
Eating Out (2005),1 hrs. 30 min.,N/A,"$155,212 ",Comedy,Ariztical Entertainment,Unrated,18-Mar-05,
Dans l'oeil du chat (2004),1 hrs. 34 min.,N/A,"$155,714 ",Unknown,Alliance,Unrated,13-Feb-04,
Distant Thunder (1988),1 hrs. 54 min.,N/A,"$156,188 ",Unknown,Paramount,R,11-Nov-88,
Horse Boy (2009),1 hrs. 33 min.,N/A,"$156,612 ",Documentary,Zeitgeist,Unrated,30-Sep-09,
One Day in September (2000),1 hrs. 34 min.,N/A,"$156,818 ",Documentary,Sony Classics,R,17-Nov-00,
The Bubble (2007),1 hrs. 30 min.,N/A,"$157,121 ",Foreign,Strand,Unrated,7-Sep-07,
Eva Hesse (2016),1 hrs. 48 min.,N/A,"$157,481 ",Documentary,Zeitgeist,Unrated,27-Apr-16,
Mother of George (2013),1 hrs. 47 min.,N/A,"$157,937 ",Drama,Oscilloscope Pictures,R,13-Sep-13,
The Big Picture (2012) (2012),N/A,N/A,"$158,411 ",Foreign,MPI Media Group,Unrated,12-Oct-12,
My Winnipeg (2008),1 hrs. 20 min.,N/A,"$159,363 ",Drama,IFC,Unrated,13-Jun-08,
Beauty and the Beast (2016 re-issue) (2016),1 hrs. 33 min.,N/A,"$160,215 ",Fantasy,Janus Films,Unrated,12-Feb-16,
Pastorela (2011),1 hrs. 28 min.,N/A,"$161,194 ",Foreign,Lionsgate,R,2-Dec-11,
Mughal-e-Azam (Re-issue) (2005),2 hrs. 53 min.,N/A,"$161,434 ",Foreign,UTV Communications,Unrated,1-Apr-05,
Awesome: I F%!#in' Shot That (2006),1 hrs. 30 min.,N/A,"$162,538 ",Concert,ThinkFilm,R,31-Mar-06,
Fallen Angels (1998),1 hrs. 30 min.,N/A,"$163,145 ",Unknown,Kino,R,21-Jan-98,
The Last Women Standing (2015),1 hrs. 41 min.,N/A,"$163,406 ",Romantic Comedy,China Lion,Unrated,11-Nov-15,
Outsourced (2007),1 hrs. 43 min.,N/A,"$163,561 ",Comedy,Truly Indie,PG-13,28-Sep-07,
The Loss of Sexual Innocence (1999),1 hrs. 46 min.,N/A,"$164,022 ",Unknown,Sony / Columbia,R,28-May-99,
A Love Song for Bobby Long (2004),1 hrs. 59 min.,N/A,"$164,308 ",Drama,Lions Gate,R,29-Dec-04,
NAS: Time is Illmatic (2014),1 hrs. 18 min.,N/A,"$164,540 ",Documentary,Tribeca Film,Unrated,1-Oct-14,
The Closer You Get (2000),1 hrs. 30 min.,N/A,"$164,927 ",Unknown,Fox Searchlight,PG-13,25-Feb-00,
Dark Horse (2012),1 hrs. 24 min.,N/A,"$166,228 ",Drama,Brainstorm and Double Hope,Unrated,8-Jun-12,
Dhamaal (2007),2 hrs. 15 min.,N/A,"$166,339 ",Foreign,Shemaroo,Unrated,7-Sep-07,
Our Brand Is Crisis (2006),1 hrs. 27 min.,N/A,"$166,750 ",Documentary,Koch Lorber Films,Unrated,1-Mar-06,
Genius Within: The Inner Life of Glenn Gould (2010),1 hrs. 46 min.,N/A,"$167,508 ",Documentary,Lorber Films,Unrated,10-Sep-10,
Blame It on Fidel (2007),1 hrs. 39 min.,N/A,"$168,065 ",Foreign,Koch Lorber Films,Unrated,3-Aug-07,
Bellflower (2011),1 hrs. 45 min.,N/A,"$168,226 ",Thriller,Oscilloscope Pictures,R,5-Aug-11,
Joker (2012),3 hrs. 20 min.,N/A,"$169,181 ",Foreign,UTV Communications,Unrated,31-Aug-12,
Knockout (2000),1 hrs. 39 min.,N/A,"$169,503 ",Sports Drama,Independent Artists,PG-13,4-Feb-00,
Hollywood Dreams (2007),1 hrs. 41 min.,N/A,"$171,255 ",Comedy / Drama,Rainbow Releasing,R,18-May-07,
All Things Must Pass (2015),1 hrs. 37 min.,N/A,"$172,394 ",Documentary,Gravitas Ventures,Unrated,16-Oct-15,
Hieronymus Bosch: Touched by the Devil (2016),1 hrs. 26 min.,N/A,"$172,533 ",Documentary,Kino Lorber,Unrated,16-Jul-16,
The Farewell Party (2015),1 hrs. 33 min.,N/A,"$172,860 ",Foreign,Samuel Goldwyn,Unrated,22-May-15,
The Young & Prodigious T.S. Spivet (2015),1 hrs. 45 min.,N/A,"$173,564 ",Adventure,Weinstein Company,PG,31-Jul-15,
Horns (2014),2 hrs. 0 min.,N/A,"$173,948 ",Fantasy Drama,Radius-TWC,R,31-Oct-14,
Grand Illusion (2012 re-release) (2012),1 hrs. 54 min.,N/A,"$174,065 ",Foreign,Rialto,Unrated,11-May-12,
Ashes of Time Redux (2008),1 hrs. 33 min.,N/A,"$174,273 ",Foreign / Action,Sony Classics,R,10-Oct-08,
My Best Friend Is a Vampire (1988),1 hrs. 30 min.,N/A,"$174,380 ",Unknown,Kings Road Ent.,PG,6-May-88,
Evangelion: 3.0 You Can (Not) Redo (2014),1 hrs. 46 min.,N/A,"$174,945 ",Animation,Eleven Arts,Unrated,10-Jan-14,
Hatchet (2007),1 hrs. 22 min.,N/A,"$175,281 ",Horror Comedy,Anchor Bay Films,R,7-Sep-07,
Asura: The City of Madness (2016),2 hrs. 16 min.,N/A,"$175,702 ",Action / Crime,CJ Entertainment,Unrated,7-Oct-16,
A.C.O.D. (2013),1 hrs. 28 min.,N/A,"$175,705 ",Comedy,The Film Arcade,PG-13,4-Oct-13,
Anita (2014),1 hrs. 17 min.,N/A,"$176,979 ",Documentary,Samuel Goldwyn,Unrated,21-Mar-14,
The Wave (2016),1 hrs. 44 min.,N/A,"$177,404 ",Action Drama,Magnolia,R,4-Mar-16,
Seven Hours to Judgment (1988),1 hrs. 30 min.,N/A,"$177,820 ",Unknown,Trans World Ent.,R,16-Sep-88,
Go For It (2011),1 hrs. 30 min.,N/A,"$180,237 ",Comedy / Drama,Lionsgate,PG-13,13-May-11,
Hellbent (2005),1 hrs. 25 min.,N/A,"$183,066 ",Horror,Regent Releasing,R,16-Sep-05,
Lilya 4Ever (2003),1 hrs. 49 min.,N/A,"$184,023 ",Unknown,Newmarket,R,18-Apr-03,
Amigo (2011),2 hrs. 7 min.,$1.5 million,"$184,705 ",Drama,Variance Films,Unrated,19-Aug-11,
The Priests (2015),1 hrs. 48 min.,N/A,"$185,093 ",Crime,CJ Entertainment,Unrated,26-Nov-15,
Detective K: Secret of the Lost Island (2015),N/A,N/A,"$185,367 ",Foreign,CJ Entertainment,Unrated,6-Mar-15,
Maggie (2015),1 hrs. 35 min.,N/A,"$187,112 ",Drama / Thriller,Roadside Attractions,PG-13,8-May-15,
Calle 54 (2000),1 hrs. 45 min.,N/A,"$187,308 ",Unknown,Miramax,G,20-Oct-00,
Waste Land (2010),1 hrs. 39 min.,N/A,"$187,716 ",Documentary,Arthouse Films,Unrated,29-Oct-10,
Client 9: The Rise and Fall of Eliot Spitzer (2010),1 hrs. 57 min.,N/A,"$189,416 ",Documentary,Magnolia,R,5-Nov-10,
Digimon Adventure tri. (2016),1 hrs. 36 min.,N/A,"$190,581 ",Animation,Eleven Arts,Unrated,15-Sep-16,
On a Clear Day (2006),1 hrs. 39 min.,N/A,"$191,033 ",Drama,Focus Features,PG-13,7-Apr-06,
For Queen and Country (1989),1 hrs. 45 min.,N/A,"$191,051 ",Unknown,Atlantic,R,19-May-89,
The Final Year (2018),1 hrs. 29 min.,N/A,"$191,900 ",Documentary,Magnolia,Unrated,19-Jan-18,
Mondo New York (1988),1 hrs. 23 min.,N/A,"$193,209 ",Documentary,4th and Broadway,Unrated,22-Apr-88,
Nowhere (1997),1 hrs. 22 min.,N/A,"$194,201 ",Unknown,Fine Line,R,9-May-97,
Herb & Dorothy (2009),1 hrs. 29 min.,N/A,"$194,721 ",Documentary,Arthouse Films,Unrated,5-Jun-09,
Spark: A Space Tail (2017),1 hrs. 30 min.,N/A,"$196,458 ",Animation,Open Road Films,PG,14-Apr-17,
Main Aurr Mrs. Khanna (2009),2 hrs. 15 min.,N/A,"$197,183 ",Foreign,UTV Communications,Unrated,16-Oct-09,
The Double (2014) (2014),1 hrs. 33 min.,N/A,"$200,406 ",Comedy / Drama,Magnolia,R,9-May-14,
Blackthorn (2011),1 hrs. 38 min.,N/A,"$200,558 ",Western,Magnolia,R,7-Oct-11,
Eat the Rich (1988),1 hrs. 29 min.,N/A,"$200,723 ",Comedy,New Line,R,22-Apr-88,
